INDEX,CWE_ID,CWE_NAME,CWE_DESCRIPTION,CWE_PLATFORMS
178,300,Channel Accessible by Non-Endpoint,"The product does not adequately verify the identity of actors at both ends of a communication channel, or does not adequately ensure the integrity of the channel, in a way that allows the channel to be accessed or influenced by an actor that is not an endpoint.",Not Language-Specific
179,301,Reflection Attack in an Authentication Protocol,Simple authentication protocols are subject to reflection attacks if a malicious user can use the target machine to impersonate a trusted user.,Not Language-Specific
180,302,Authentication Bypass by Assumed-Immutable Data,"The authentication scheme or implementation uses key data elements that are assumed to be immutable, but can be controlled or modified by the attacker.",Not Language-Specific
181,306,Missing Authentication for Critical Function,The product does not perform any authentication for functionality that requires a provable user identity or consumes a significant amount of resources.,Not Language-Specific
182,307,Improper Restriction of Excessive Authentication Attempts,"The product does not implement sufficient measures to prevent multiple failed authentication attempts within a short time frame, making it more susceptible to brute force attacks.",Not Language-Specific
183,308,Use of Single-factor Authentication,The use of single-factor authentication can lead to unnecessary risk of compromise when compared with the benefits of a dual-factor authentication scheme.,Not Language-Specific
184,309,Use of Password System for Primary Authentication,"The use of password systems as the primary means of authentication may be subject to several flaws or shortcomings, each reducing the effectiveness of the mechanism.",Not Language-Specific
185,311,Missing Encryption of Sensitive Data,The product does not encrypt sensitive or critical information before storage or transmission.,Not Language-Specific
186,312,Cleartext Storage of Sensitive Information,The product stores sensitive information in cleartext within a resource that might be accessible to another control sphere.,Not Language-Specific
187,313,Cleartext Storage in a File or on Disk,"The product stores sensitive information in cleartext in a file, or on disk.",Not Language-Specific
188,315,Cleartext Storage of Sensitive Information in a Cookie,The product stores sensitive information in cleartext in a cookie.,Not Language-Specific
189,319,Cleartext Transmission of Sensitive Information,The product transmits sensitive or security-critical data in cleartext in a communication channel that can be sniffed by unauthorized actors.,Not Language-Specific
190,321,Use of Hard-coded Cryptographic Key,The use of a hard-coded cryptographic key significantly increases the possibility that encrypted data may be recovered.,Not Language-Specific
191,323,"Reusing a Nonce, Key Pair in Encryption",Nonces should be used for the present occasion and only once.,Not Language-Specific
192,324,Use of a Key Past its Expiration Date,"The product uses a cryptographic key or password past its expiration date, which diminishes its safety significantly by increasing the timing window for cracking attacks against that key.",Not Language-Specific
193,325,Missing Cryptographic Step,"The product does not implement a required step in a cryptographic algorithm, resulting in weaker encryption than advertised by the algorithm.",Not Language-Specific
194,327,Use of a Broken or Risky Cryptographic Algorithm,The product uses a broken or risky cryptographic algorithm or protocol.,"Not Language-Specific, Verilog, VHDL"
195,328,Use of Weak Hash,"The product uses an algorithm that produces a digest (output value) that does not meet security expectations for a hash function that allows an adversary to reasonably determine the original input (preimage attack), find another input that can produce the same hash (2nd preimage attack), or find multiple inputs that evaluate to the same hash (birthday attack).",Not Language-Specific
196,329,Generation of Predictable IV with CBC Mode,"The product generates and uses a predictable initialization Vector (IV) with Cipher Block Chaining (CBC) Mode, which causes algorithms to be susceptible to dictionary attacks when they are encrypted under the same key.",Not Language-Specific
197,330,Use of Insufficiently Random Values,The product uses insufficiently random numbers or values in a security context that depends on unpredictable numbers.,Not Language-Specific
198,331,Insufficient Entropy,"The product uses an algorithm or scheme that produces insufficient entropy, leaving patterns or clusters of values that are more likely to occur than others.",Not Language-Specific
199,333,Improper Handling of Insufficient Entropy in TRNG,True random number generators (TRNG) generally have a limited source of entropy and therefore can fail or block.,Not Language-Specific
200,334,Small Space of Random Values,"The number of possible random values is smaller than needed by the product, making it more susceptible to brute force attacks.",Not Language-Specific
201,335,Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),The product uses a Pseudo-Random Number Generator (PRNG) but does not correctly manage seeds.,Not Language-Specific
202,336,Same Seed in Pseudo-Random Number Generator (PRNG),A Pseudo-Random Number Generator (PRNG) uses the same seed each time the product is initialized.,Not Language-Specific
203,337,Predictable Seed in Pseudo-Random Number Generator (PRNG),"A Pseudo-Random Number Generator (PRNG) is initialized from a predictable seed, such as the process ID or system time.",Not Language-Specific
204,338,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),"The product uses a Pseudo-Random Number Generator (PRNG) in a security context, but the PRNG's algorithm is not cryptographically strong.",Not Language-Specific
205,339,Small Seed Space in PRNG,"A Pseudo-Random Number Generator (PRNG) uses a relatively small seed space, which makes it more susceptible to brute force attacks.",Not Language-Specific
206,340,Generation of Predictable Numbers or Identifiers,The product uses a scheme that generates numbers or identifiers that are more predictable than required.,
207,341,Predictable from Observable State,"A number or object is predictable based on observations that the attacker can make about the state of the system or network, such as time, process ID, etc.",Not Language-Specific
208,344,Use of Invariant Value in Dynamically Changing Context,"The product uses a constant value, name, or reference, but this value can (or should) vary across different environments.",Not Language-Specific
209,346,Origin Validation Error,The product does not properly verify that the source of data or communication is valid.,Not Language-Specific
210,347,Improper Verification of Cryptographic Signature,"The product does not verify, or incorrectly verifies, the cryptographic signature for data.",Not Language-Specific
211,348,Use of Less Trusted Source,"The product has two different sources of the same data or information, but it uses the source that has less support for verification, is less trusted, or is less resistant to attack.",Not Language-Specific
212,350,Reliance on Reverse DNS Resolution for a Security-Critical Action,"The product performs reverse DNS resolution on an IP address to obtain the hostname and make a security decision, but it does not properly ensure that the IP address is truly associated with the hostname.",Not Language-Specific
213,352,Cross-Site Request Forgery (CSRF),"The web application does not, or can not, sufficiently verify whether a well-formed, valid, consistent request was intentionally provided by the user who submitted the request.",Not Language-Specific
214,353,Missing Support for Integrity Check,"The product uses a transmission protocol that does not include a mechanism for verifying the integrity of the data during transmission, such as a checksum.",Not Language-Specific
215,354,Improper Validation of Integrity Check Value,"The product does not validate or incorrectly validates the integrity check values or ""checksums"" of a message. This may prevent it from detecting if the data has been modified or corrupted in transmission.",Not Language-Specific
216,359,Exposure of Private Personal Information to an Unauthorized Actor,"The product does not properly prevent a person's private, personal information from being accessed by actors who either (1) are not explicitly authorized to access the information or (2) do not have the implicit consent of the person about whom the information is collected.",Not Language-Specific
217,36,Absolute Path Traversal,"The product uses external input to construct a pathname that should be within a restricted directory, but it does not properly neutralize absolute path sequences such as ""/abs/path"" that can resolve to a location that is outside of that directory.",Not Language-Specific
218,360,Trust of System Event Data,Security based on event locations are insecure and can be spoofed.,Not Language-Specific
219,362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition'),"The product contains a code sequence that can run concurrently with other code, and the code sequence requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence that is operating concurrently.","C, C++, Java"
220,363,Race Condition Enabling Link Following,"The product checks the status of a file or directory before accessing it, which produces a race condition in which the file can be replaced with a link before the access is performed, causing the product to access the wrong file.",Not Language-Specific
221,364,Signal Handler Race Condition,The product uses a signal handler that introduces a race condition.,"C, C++"
222,366,Race Condition within a Thread,"If two threads of execution use a resource simultaneously, there exists the possibility that resources may be used while invalid, in turn making the state of execution undefined.","C, C++, Java, C#"
223,367,Time-of-check Time-of-use (TOCTOU) Race Condition,"The product checks the state of a resource before using that resource, but the resource's state can change between the check and the use in a way that invalidates the results of the check. This can cause the product to perform invalid actions when the resource is in an unexpected state.",Not Language-Specific
224,369,Divide By Zero,The product divides a value by zero.,
225,370,Missing Check for Certificate Revocation after Initial Check,"The product does not check the revocation status of a certificate after its initial revocation check, which can cause the product to perform privileged actions even after the certificate is revoked at a later time.",Not Language-Specific
226,374,Passing Mutable Objects to an Untrusted Method,The product sends non-cloned mutable data as an argument to a method or function.,"C, C++, Java, C#"
227,375,Returning a Mutable Object to an Untrusted Caller,Sending non-cloned mutable data as a return value may result in that data being altered or deleted by the calling function.,"C, C++, Java, C#"
228,377,Insecure Temporary File,Creating and using insecure temporary files can leave application and system data vulnerable to attack.,Not Language-Specific
229,378,Creation of Temporary File With Insecure Permissions,"Opening temporary files without appropriate measures or controls can leave the file, its contents and any function that it impacts vulnerable to attack.",Not Language-Specific
230,379,Creation of Temporary File in Directory with Insecure Permissions,The product creates a temporary file in a directory whose permissions allow unintended actors to determine the file's existence or otherwise access that file.,Not Language-Specific
231,382,J2EE Bad Practices: Use of System.exit(),"A J2EE application uses System.exit(), which also shuts down its container.",Java
232,383,J2EE Bad Practices: Direct Use of Threads,Thread management in a Web application is forbidden in some circumstances and is always highly error prone.,Java
233,384,Session Fixation,"Authenticating a user, or otherwise establishing a new user session, without invalidating any existing session identifier gives an attacker the opportunity to steal authenticated sessions.",Not Language-Specific
234,385,Covert Timing Channel,"Covert timing channels convey information by modulating some aspect of system behavior over time, so that the program receiving the information can observe system behavior and infer protected information.",Not Language-Specific
235,390,Detection of Error Condition Without Action,"The product detects a specific error, but takes no actions to handle the error.",Not Language-Specific
236,391,Unchecked Error Condition,"[PLANNED FOR DEPRECATION. SEE MAINTENANCE NOTES AND CONSIDER CWE-252, CWE-248, OR CWE-1069.] Ignoring exceptions and other error conditions may allow an attacker to induce unexpected behavior unnoticed.",Not Language-Specific
237,392,Missing Report of Error Condition,The product encounters an error but does not provide a status code or return value to indicate that an error has occurred.,Not Language-Specific
238,393,Return of Wrong Status Code,"A function or operation returns an incorrect return value or status code that does not indicate an error, but causes the product to modify its behavior based on the incorrect result.",Not Language-Specific
239,395,Use of NullPointerException Catch to Detect NULL Pointer Dereference,Catching NullPointerException should not be used as an alternative to programmatic checks to prevent dereferencing a null pointer.,Java
240,396,Declaration of Catch for Generic Exception,Catching overly broad exceptions promotes complex error handling code that is more likely to contain security vulnerabilities.,"C++, Java, C#, Python"
241,397,Declaration of Throws for Generic Exception,Throwing overly broad exceptions promotes complex error handling code that is more likely to contain security vulnerabilities.,"C++, Java, C#"
242,400,Uncontrolled Resource Consumption,"The product does not properly control the allocation and maintenance of a limited resource, thereby enabling an actor to influence the amount of resources consumed, eventually leading to the exhaustion of available resources.",Not Language-Specific
243,401,Missing Release of Memory after Effective Lifetime,"The product does not sufficiently track and release allocated memory after it has been used, which slowly consumes remaining memory.","C, C++"
244,404,Improper Resource Shutdown or Release,The product does not release or incorrectly releases a resource before it is made available for re-use.,Not Language-Specific
245,405,Asymmetric Resource Consumption (Amplification),"The product does not properly control situations in which an adversary can cause the product to consume or produce excessive resources without requiring the adversary to invest equivalent work or otherwise prove authorization, i.e., the adversary's influence is ""asymmetric.""",Not Language-Specific
246,406,Insufficient Control of Network Message Volume (Network Amplification),"The product does not sufficiently monitor or control transmitted network traffic volume, so that an actor can cause the product to transmit more traffic than should be allowed for that actor.",Not Language-Specific
247,407,Inefficient Algorithmic Complexity,"An algorithm in a product has an inefficient worst-case computational complexity that may be detrimental to system performance and can be triggered by an attacker, typically using crafted manipulations that ensure that the worst case is being reached.",Not Language-Specific
248,408,Incorrect Behavior Order: Early Amplification,The product allows an entity to perform a legitimate but expensive operation before authentication or authorization has taken place.,Not Language-Specific
249,409,Improper Handling of Highly Compressed Data (Data Amplification),The product does not handle or incorrectly handles a compressed input with a very high compression ratio that produces a large output.,Not Language-Specific
250,410,Insufficient Resource Pool,"The product's resource pool is not large enough to handle peak demand, which allows an attacker to prevent others from accessing the resource by using a (relatively) large number of requests for resources.",Not Language-Specific
251,412,Unrestricted Externally Accessible Lock,"The product properly checks for the existence of a lock, but the lock can be externally controlled or influenced by an actor that is outside of the intended sphere of control.",Not Language-Specific
252,413,Improper Resource Locking,The product does not lock or does not correctly lock a resource when the product must have exclusive access to the resource.,Not Language-Specific
253,415,Double Free,"The product calls free() twice on the same memory address, potentially leading to modification of unexpected memory locations.","C, C++"
254,416,Use After Free,"The product reuses or references memory after it has been freed. At some point afterward, the memory may be allocated again and saved in another pointer, while the original pointer references a location somewhere within the new allocation. Any operations using the original pointer are no longer valid because the memory ""belongs"" to the code that operates on the new pointer.","C, C++"
255,420,Unprotected Alternate Channel,"The product protects a primary channel, but it does not use the same level of protection for an alternate channel.",Not Language-Specific
256,425,Direct Request ('Forced Browsing'),"The web application does not adequately enforce appropriate authorization on all restricted URLs, scripts, or files.",Not Language-Specific
257,426,Untrusted Search Path,The product searches for critical resources using an externally-supplied search path that can point to resources that are not under the product's direct control.,Not Language-Specific
258,427,Uncontrolled Search Path Element,"The product uses a fixed or controlled search path to find resources, but one or more locations in that path can be under the control of unintended actors.",Not Language-Specific
259,428,Unquoted Search Path or Element,"The product uses a search path that contains an unquoted element, in which the element contains whitespace or other separators. This can cause the product to access resources in a parent path.",Not Language-Specific
260,431,Missing Handler,A handler is not available or implemented.,Not Language-Specific
261,433,Unparsed Raw Web Content Delivery,The product stores raw content or supporting code under the web document root with an extension that is not specifically handled by the server.,Not Language-Specific
262,434,Unrestricted Upload of File with Dangerous Type,The product allows the upload or transfer of dangerous file types that are automatically processed within its environment.,"ASP.NET, PHP, Not Language-Specific"
263,440,Expected Behavior Violation,"A feature, API, or function does not perform according to its specification.",Not Language-Specific
264,444,Inconsistent Interpretation of HTTP Requests ('HTTP Request/Response Smuggling'),"The product acts as an intermediary HTTP agent
         (such as a proxy or firewall) in the data flow between two
         entities such as a client and server, but it does not
         interpret malformed HTTP requests or responses in ways that
         are consistent with how the messages will be processed by
         those entities that are at the ultimate destination.",Not Language-Specific
265,453,Insecure Default Variable Initialization,"The product, by default, initializes an internal variable with an insecure or less secure value than is possible.","PHP, Not Language-Specific"
266,454,External Initialization of Trusted Variables or Data Stores,The product initializes critical internal variables or data stores using inputs that can be modified by untrusted actors.,"PHP, Not Language-Specific"
267,455,Non-exit on Failed Initialization,"The product does not exit or otherwise modify its operation when security-relevant errors occur during initialization, such as when a configuration file has a format error or a hardware security module (HSM) cannot be activated, which can cause the product to execute in a less secure fashion than intended by the administrator.",Not Language-Specific
268,456,Missing Initialization of a Variable,"The product does not initialize critical variables, which causes the execution environment to use unexpected values.",Not Language-Specific
269,457,Use of Uninitialized Variable,"The code uses a variable that has not been initialized, leading to unpredictable or unintended results.","C, C++, Perl, PHP, Not Language-Specific"
270,459,Incomplete Cleanup,"The product does not properly ""clean up"" and remove temporary or supporting resources after they have been used.",Not Language-Specific
271,460,Improper Cleanup on Thrown Exception,"The product does not clean up its state or incorrectly cleans up its state when an exception is thrown, leading to unexpected state or control flow.","C, C++, Java, C#"
272,462,Duplicate Key in Associative List (Alist),Duplicate keys in associative lists can lead to non-unique keys being mistaken for an error.,"C, C++, Java, C#"
273,463,Deletion of Data Structure Sentinel,The accidental deletion of a data-structure sentinel can cause serious programming logic problems.,"C, C++"
274,464,Addition of Data Structure Sentinel,The accidental addition of a data-structure sentinel can cause serious programming logic problems.,"C, C++"
275,467,Use of sizeof() on a Pointer Type,"The code calls sizeof() on a malloced pointer type, which always returns the wordsize/8. This can produce an unexpected result if the programmer intended to determine how much memory has been allocated.","C, C++"
276,468,Incorrect Pointer Scaling,"In C and C++, one may often accidentally refer to the wrong memory due to the semantics of when math operations are implicitly scaled.","C, C++"
277,469,Use of Pointer Subtraction to Determine Size,"The product subtracts one pointer from another in order to determine size, but this calculation can be incorrect if the pointers do not exist in the same memory chunk.","C, C++"
278,470,Use of Externally-Controlled Input to Select Classes or Code ('Unsafe Reflection'),"The product uses external input with reflection to select which classes or code to use, but it does not sufficiently prevent the input from selecting improper classes or code.","Java, PHP, Interpreted"
279,471,Modification of Assumed-Immutable Data (MAID),The product does not properly protect an assumed-immutable element from being modified by an attacker.,Not Language-Specific
280,472,External Control of Assumed-Immutable Web Parameter,"The web application does not sufficiently verify inputs that are assumed to be immutable but are actually externally controllable, such as hidden form fields.",Not Language-Specific
281,476,NULL Pointer Dereference,The product dereferences a pointer that it expects to be valid but is NULL.,"C, C++, Java, C#, Go"
282,477,Use of Obsolete Function,"The code uses deprecated or obsolete functions, which suggests that the code has not been actively reviewed or maintained.",Not Language-Specific
283,478,Missing Default Case in Multiple Condition Expression,"The code does not have a default case in an expression with multiple conditions, such as a switch statement.","C, C++, Java, C#, Python, JavaScript"
284,480,Use of Incorrect Operator,"The product accidentally uses the wrong operator, which changes the logic in security-relevant ways.","C, C++, Perl, Not Language-Specific"
285,481,Assigning instead of Comparing,The code uses an operator for assignment when the intention was to perform a comparison.,"C, C++, Java, C#"
286,482,Comparing instead of Assigning,The code uses an operator for comparison when the intention was to perform an assignment.,"C, C++"
287,483,Incorrect Block Delimitation,"The code does not explicitly delimit a block that is intended to contain 2 or more statements, creating a logic error.","C, C++"
288,484,Omitted Break Statement in Switch,"The product omits a break statement within a switch or similar construct, causing code associated with multiple conditions to execute. This can cause problems when the programmer only intended to execute code associated with one condition.","C, C++, Java, C#, PHP"
289,486,Comparison of Classes by Name,"The product compares classes by name, which can cause it to use the wrong class when multiple classes can have the same name.",Java
290,487,Reliance on Package-level Scope,"Java packages are not inherently closed; therefore, relying on them for code security is not a good practice.",Java
291,488,Exposure of Data Element to Wrong Session,"The product does not sufficiently enforce boundaries between the states of different sessions, causing data to be provided to, or used by, the wrong session.",Not Language-Specific
292,489,Active Debug Code,"The product is deployed to unauthorized actors with debugging code still enabled or active, which can create unintended entry points or expose sensitive information.",Not Language-Specific
293,491,Public cloneable() Method Without Final ('Object Hijack'),"A class has a cloneable() method that is not declared final, which allows an object to be created without calling the constructor. This can cause the object to be in an unexpected state.",Java
294,492,Use of Inner Class Containing Sensitive Data,Inner classes are translated into classes that are accessible at package scope and may expose code that the programmer intended to keep private to attackers.,Java
295,493,Critical Public Variable Without Final Modifier,"The product has a critical public variable that is not final, which allows the variable to be modified to contain unexpected values.","Java, C++"
296,494,Download of Code Without Integrity Check,The product downloads source code or an executable from a remote location and executes the code without sufficiently verifying the origin and integrity of the code.,Not Language-Specific
297,495,Private Data Structure Returned From A Public Method,"The product has a method that is declared public, but returns a reference to a private data structure, which could then be modified in unexpected ways.","C, C++, Java, C#"
298,496,Public Data Assigned to Private Array-Typed Field,Assigning public data to a private array is equivalent to giving public access to the array.,"C, C++, Java, C#"
299,497,Exposure of Sensitive System Information to an Unauthorized Control Sphere,The product does not properly prevent sensitive system-level information from being accessed by unauthorized actors who do not have the same level of access to the underlying system as the product does.,Not Language-Specific
300,498,Cloneable Class Containing Sensitive Information,"The code contains a class with sensitive data, but the class is cloneable. The data can then be accessed by cloning the class.","C++, Java, C#"
301,499,Serializable Class Containing Sensitive Data,"The code contains a class with sensitive data, but the class does not explicitly deny serialization. The data can be accessed by serializing the class through another class.",Java
302,500,Public Static Field Not Marked Final,"An object contains a public static field that is not marked final, which might allow it to be modified in unexpected ways.","C++, Java"
303,501,Trust Boundary Violation,The product mixes trusted and untrusted data in the same data structure or structured message.,Not Language-Specific
304,502,Deserialization of Untrusted Data,The product deserializes untrusted data without sufficiently verifying that the resulting data will be valid.,"Java, Ruby, PHP, Python, JavaScript"
305,506,Embedded Malicious Code,The product contains code that appears to be malicious in nature.,
306,514,Covert Channel,A covert channel is a path that can be used to transfer information in a way not intended by the system's designers.,
307,522,Insufficiently Protected Credentials,"The product transmits or stores authentication credentials, but it uses an insecure method that is susceptible to unauthorized interception and/or retrieval.",Not Language-Specific
308,532,Insertion of Sensitive Information into Log File,Information written to log files can be of a sensitive nature and give valuable guidance to an attacker or expose sensitive user information.,
309,536,Servlet Runtime Error Message Containing Sensitive Information,A servlet error message indicates that there exists an unhandled exception in your web application code and may provide useful information to an attacker.,
310,537,Java Runtime Error Message Containing Sensitive Information,"In many cases, an attacker can leverage the conditions that cause unhandled exception errors in order to gain unauthorized access to the system.",Java
311,538,Insertion of Sensitive Information into Externally-Accessible File or Directory,"The product places sensitive information into files or directories that are accessible to actors who are allowed to have access to the files, but not to the sensitive information.",Not Language-Specific
312,540,Inclusion of Sensitive Information in Source Code,Source code on a web server or repository often contains sensitive information and should generally not be accessible to users.,
313,541,Inclusion of Sensitive Information in an Include File,"If an include file source is accessible, the file can contain usernames and passwords, as well as sensitive information pertaining to the application and system.",
314,543,Use of Singleton Pattern Without Synchronization in a Multithreaded Context,The product uses the singleton pattern when creating a resource within a multithreaded environment.,"Java, C++"
315,546,Suspicious Comment,"The code contains comments that suggest the presence of bugs, incomplete functionality, or weaknesses.",Not Language-Specific
316,547,"Use of Hard-coded, Security-relevant Constants","The product uses hard-coded constants instead of symbolic names for security-critical values, which increases the likelihood of mistakes during code maintenance or security policy change.",
317,552,Files or Directories Accessible to External Parties,"The product makes files or directories accessible to unauthorized actors, even though they should not be.",Not Language-Specific
318,555,J2EE Misconfiguration: Plaintext Password in Configuration File,The J2EE application stores a plaintext password in a configuration file.,
319,558,Use of getlogin() in Multithreaded Application,"The product uses the getlogin() function in a multithreaded context, potentially causing it to return incorrect values.","C, C++"
320,561,Dead Code,"The product contains dead code, which can never be executed.",Not Language-Specific
321,562,Return of Stack Variable Address,"A function returns the address of a stack variable, which will cause unintended program behavior, typically in the form of a crash.","C, C++"
322,563,Assignment to Variable without Use,"The variable's value is assigned but never used, making it a dead store.",
323,564,SQL Injection: Hibernate,Using Hibernate to execute a dynamic SQL statement built with user-controlled input can allow an attacker to modify the statement's meaning or to execute arbitrary SQL commands.,
324,565,Reliance on Cookies without Validation and Integrity Checking,"The product relies on the existence or values of cookies when performing security-critical operations, but it does not properly ensure that the setting is valid for the associated user.",
325,566,Authorization Bypass Through User-Controlled SQL Primary Key,"The product uses a database table that includes records that should not be accessible to an actor, but it executes a SQL statement with a primary key that can be controlled by that actor.",
326,567,Unsynchronized Access to Shared Data in a Multithreaded Context,"The product does not properly synchronize shared data, such as static variables across threads, which can lead to undefined behavior and unpredictable data changes.",Java
327,568,finalize() Method Without super.finalize(),The product contains a finalize() method that does not call super.finalize().,Java
328,570,Expression is Always False,The product contains an expression that will always evaluate to false.,Not Language-Specific
329,571,Expression is Always True,The product contains an expression that will always evaluate to true.,Not Language-Specific
330,572,Call to Thread run() instead of start(),"The product calls a thread's run() method instead of calling start(), which causes the code to run in the thread of the caller instead of the callee.",Java
331,574,EJB Bad Practices: Use of Synchronization Primitives,The product violates the Enterprise JavaBeans (EJB) specification by using thread synchronization primitives.,Java
332,575,EJB Bad Practices: Use of AWT Swing,The product violates the Enterprise JavaBeans (EJB) specification by using AWT/Swing.,Java
333,576,EJB Bad Practices: Use of Java I/O,The product violates the Enterprise JavaBeans (EJB) specification by using the java.io package.,Java
334,577,EJB Bad Practices: Use of Sockets,The product violates the Enterprise JavaBeans (EJB) specification by using sockets.,Java
335,578,EJB Bad Practices: Use of Class Loader,The product violates the Enterprise JavaBeans (EJB) specification by using the class loader.,Java
336,579,J2EE Bad Practices: Non-serializable Object Stored in Session,"The product stores a non-serializable object as an HttpSession attribute, which can hurt reliability.",Java
337,580,clone() Method Without super.clone(),The product contains a clone() method that does not call super.clone() to obtain the new object.,Java
338,582,"Array Declared Public, Final, and Static","The product declares an array public, final, and static, which is not sufficient to prevent the array's contents from being modified.",Java
339,583,finalize() Method Declared Public,The product violates secure coding principles for mobile code by declaring a finalize() method public.,Java
340,584,Return Inside Finally Block,"The code has a return statement inside a finally block, which will cause any thrown exception in the try block to be discarded.",
341,585,Empty Synchronized Block,The product contains an empty synchronized block.,Java
342,586,Explicit Call to Finalize(),The product makes an explicit call to the finalize() method from outside the finalizer.,Java
343,587,Assignment of a Fixed Address to a Pointer,The product sets a pointer to a specific address other than NULL or 0.,"C, C++, C#, Assembly"
344,588,Attempt to Access Child of a Non-structure Pointer,Casting a non-structure type to a structure type and accessing a field can lead to memory access errors or data corruption.,
345,590,Free of Memory not on the Heap,"The product calls free() on a pointer to memory that was not allocated using associated heap allocation functions such as malloc(), calloc(), or realloc().",
346,593,Authentication Bypass: OpenSSL CTX Object Modified after SSL Objects are Created,The product modifies the SSL context after connection creation has begun.,
347,594,J2EE Framework: Saving Unserializable Objects to Disk,When the J2EE container attempts to write unserializable objects to disk there is no guarantee that the process will complete successfully.,Java
348,595,Comparison of Object References Instead of Object Contents,"The product compares object references instead of the contents of the objects themselves, preventing it from detecting equivalent objects.","Java, JavaScript, PHP, Not Language-Specific"
349,597,Use of Wrong Operator in String Comparison,"The product uses the wrong operator when comparing a string, such as using ""=="" when the .equals() method should be used instead.",
350,599,Missing Validation of OpenSSL Certificate,The product uses OpenSSL and trusts or uses a certificate without using the SSL_get_verify_result() function to ensure that the certificate satisfies all necessary security requirements.,
351,6,J2EE Misconfiguration: Insufficient Session-ID Length,The J2EE application is configured to use an insufficient session ID length.,Java
352,600,Uncaught Exception in Servlet ,"The Servlet does not catch all exceptions, which may reveal sensitive debugging information.",
353,601,URL Redirection to Untrusted Site ('Open Redirect'),"A web application accepts a user-controlled input that specifies a link to an external site, and uses that link in a Redirect. This simplifies phishing attacks.",Not Language-Specific
354,602,Client-Side Enforcement of Server-Side Security,The product is composed of a server that relies on the client to implement a mechanism that is intended to protect the server.,Not Language-Specific
355,605,Multiple Binds to the Same Port,"When multiple sockets are allowed to bind to the same port, other services on that port may be stolen or spoofed.",Not Language-Specific
356,606,Unchecked Input for Loop Condition,"The product does not properly check inputs that are used for loop conditions, potentially leading to a denial of service or other consequences because of excessive looping.",
357,607,Public Static Final Field References Mutable Object,"A public or protected static final field references a mutable object, which allows the object to be changed by malicious code, or accidentally from another package.",Java
358,608,Struts: Non-private Field in ActionForm Class,"An ActionForm class contains a field that has not been declared private, which can be accessed without using a setter or getter.",Java
359,609,Double-Checked Locking,"The product uses double-checked locking to access a resource without the overhead of explicit synchronization, but the locking is insufficient.",Java
360,610,Externally Controlled Reference to a Resource in Another Sphere,The product uses an externally controlled name or reference that resolves to a resource that is outside of the intended control sphere.,
361,613,Insufficient Session Expiration,"According to WASC, ""Insufficient Session Expiration is when a web site permits an attacker to reuse old session credentials or session IDs for authorization.""",
362,614,Sensitive Cookie in HTTPS Session Without 'Secure' Attribute,"The Secure attribute for sensitive cookies in HTTPS sessions is not set, which could cause the user agent to send those cookies in plaintext over an HTTP session.",
363,615,Inclusion of Sensitive Information in Source Code Comments,"While adding general comments is very useful, some programmers tend to leave important data, such as: filenames related to the web application, old links or links which were not meant to be browsed by users, old code fragments, etc.",
364,616,Incomplete Identification of Uploaded File Variables (PHP),"The PHP application uses an old method for processing uploaded files by referencing the four global variables that are set for each file (e.g. $varname, $varname_size, $varname_name, $varname_type). These variables could be overwritten by attackers, causing the application to process unauthorized files.",PHP
365,617,Reachable Assertion,"The product contains an assert() or similar statement that can be triggered by an attacker, which leads to an application exit or other behavior that is more severe than necessary.",
366,620,Unverified Password Change,"When setting a new password for a user, the product does not require knowledge of the original password, or using another form of authentication.",Not Language-Specific
367,621,Variable Extraction Error,"The product uses external input to determine the names of variables into which information is extracted, without verifying that the names of the specified variables are valid. This could cause the program to overwrite unintended variables.",PHP
368,625,Permissive Regular Expression,The product uses a regular expression that does not sufficiently restrict the set of allowed values.,"Perl, PHP"
369,628,Function Call with Incorrectly Specified Arguments,"The product calls a function, procedure, or routine with arguments that are not correctly specified, leading to always-incorrect behavior and resultant weaknesses.",Not Language-Specific
370,639,Authorization Bypass Through User-Controlled Key,The system's authorization functionality does not prevent one user from gaining access to another user's data or record by modifying the key value identifying the data.,Not Language-Specific
371,642,External Control of Critical State Data,"The product stores security-critical state information about its users, or the product itself, in a location that is accessible to unauthorized actors.",Not Language-Specific
372,643,Improper Neutralization of Data within XPath Expressions ('XPath Injection'),"The product uses external input to dynamically construct an XPath expression used to retrieve data from an XML database, but it does not neutralize or incorrectly neutralizes that input. This allows an attacker to control the structure of the query.",Not Language-Specific
373,644,Improper Neutralization of HTTP Headers for Scripting Syntax,"The product does not neutralize or incorrectly neutralizes web scripting syntax in HTTP headers that can be used by web browser components that can process raw headers, such as Flash.",Not Language-Specific
374,662,Improper Synchronization,"The product utilizes multiple threads or processes to allow temporary access to a shared resource that can only be exclusive to one process at a time, but it does not properly synchronize these actions, which might cause simultaneous accesses of this resource by multiple threads or processes.",
375,663,Use of a Non-reentrant Function in a Concurrent Context,The product calls a non-reentrant function in a concurrent context in which a competing code sequence (e.g. thread or signal handler) may have an opportunity to call the same function or otherwise influence its state.,
